"","psi","phi","d","b1","b2","b3","b4","b5","b6","b7","b8","status"
"A:12",0.1726386005,-0.213346281333333,2.39765466333333,0.19328856095,-0.47948477287,-0.647299060333333,-0.21445613037825,-1.09875098396517,-0.0475652533375,0.828651619333333,0.0668254370912333,"active"
"A:13",0.205257821333333,-0.405444226333333,2.371968915,-1.168288744,-0.523000332433333,-0.550036956,-0.865298323833333,-0.954061512308333,-1.64204112916667,-0.20401023921395,-0.7298112420845,"active"
"A:14",0.162788605166667,-0.140116369516667,2.39379313166667,0.861657148333333,0.865487070666667,0.896653716,1.54352560683333,0.3421193308855,0.539102876981333,1.2428604935,-0.94675225977915,"active"
"A:15",0.164159273333333,-0.400616745666667,1.943166635,-0.638412678278333,-0.278018318134333,0.0500627281606833,-1.225539813,-1.23016115286217,-0.683028931233833,-0.228374768579367,-0.951548684567,"active"
"A:16",0.1622844595,-0.189762811866667,2.293793905,0.902065091,0.686015330466667,0.348210797866667,1.2270055725,0.333143216940333,0.8224212345,0.872012805166667,-0.941124090418833,"active"
"A:17",0.178379133666667,-0.283746075833333,2.024963145,0.837859729666667,1.16422376066667,1.59068200666667,1.711854395,0.724920634934183,0.505043388875,0.971910380666667,-0.92690743016715,"active"
"A:18",0.213866848833333,-0.1011048872,2.24117354666667,0.774375797333333,0.950703321833333,0.9272051845,1.17725579133333,1.07827518396667,1.02772568733333,0.654059175333333,-0.0011972182265,"active"
"A:19",0.217996675,-0.320034130666667,2.34349261333333,-0.67771006855,-1.73355462666667,-1.70272779166667,-0.798664448333333,-2.91967403871667,0.29864910178035,-0.893675604166667,-0.943195885157333,"active"
"A:20",0.227934055333333,-0.193872347716667,2.436716585,-1.08067223833333,-0.5353305023,-0.0789925467579667,-0.440106877686667,-0.5103417344015,-0.0659042936132367,-0.603936731816667,-0.966055087855333,"active"
"C:1",0.186633591833333,-0.326626075,2.70108908833333,-0.398474789748333,-1.69520246,-0.921810861166667,-0.556864567073333,-1.53073482813667,-1.42317491366667,-0.928640870166667,-0.959013656600667,"cancelled"
